id,sepallengthcm,sepalwidthcm,petallengthcm,petalwidthcm,missing_count,missing_ratio,numeric_mean,numeric_std,numeric_sum,numeric_range,numeric_nonzero_count,numeric_positive_count,id_zscore,sepallengthcm_zscore,sepalwidthcm_zscore,petallengthcm_zscore,petalwidthcm_zscore,species_length,species_word_count,species_Iris-setosa,species_Iris-versicolor,species_Iris-virginica
1,5.1,3.5,1.4,0.2,0,0.0,1.5999999999999999,1.9723082923316018,11.2,5.1,5,5,-1.7147973061923394,-0.8976738791967662,1.0286112808972343,-1.33679402028825,-1.3085928194379575,11,1,True,False,False
2,4.9,3.0,1.4,0.2,0,0.0,1.6428571428571428,1.831080867372368,11.5,4.9,5,5,-1.6917798926864018,-1.1392004834649534,-0.12454037930145956,-1.33679402028825,-1.3085928194379575,11,1,True,False,False
3,4.7,3.2,1.3,0.2,0,0.0,1.7714285714285716,1.8750238093726401,12.4,4.7,5,5,-1.6687624791804645,-1.3807270877331415,0.3367202847780184,-1.3934698549528166,-1.3085928194379575,11,1,True,False,False
4,4.6,3.1,1.5,0.2,0,0.0,1.9142857142857141,1.9752034253282802,13.399999999999999,4.6,5,5,-1.645745065674527,-1.501490389867236,0.10608995273827942,-1.280118185623683,-1.3085928194379575,11,1,True,False,False
5,5.0,3.6,1.4,0.2,0,0.0,2.1714285714285713,2.3077509150067055,15.2,5.0,5,5,-1.6227276521685896,-1.0184371813308597,1.2592416129369732,-1.33679402028825,-1.3085928194379575,11,1,True,False,False
6,5.4,3.9,1.7,0.4,0,0.0,2.4857142857142853,2.5874237968995155,17.4,6.0,5,5,-1.599710238662652,-0.5353839727944834,1.9511326090561893,-1.1667665162945495,-1.0465248315665374,11,1,True,False,False
7,4.6,3.4,1.4,0.3,0,0.0,2.3857142857142857,2.7058138464108303,16.7,7.0,5,5,-1.5766928251567147,-1.501490389867236,0.7979809488574954,-1.33679402028825,-1.1775588255022473,11,1,True,False,False
8,5.0,3.4,1.5,0.2,0,0.0,2.5857142857142854,3.0563750704762285,18.099999999999998,8.0,5,5,-1.5536754116507772,-1.0184371813308597,0.7979809488574954,-1.280118185623683,-1.3085928194379575,11,1,True,False,False
9,4.4,2.9,1.4,0.2,0,0.0,2.557142857142857,3.29133060370075,17.9,9.0,5,5,-1.5306579981448398,-1.7430169941354232,-0.35517071134119854,-1.33679402028825,-1.3085928194379575,11,1,True,False,False
10,4.9,3.1,1.5,0.1,0,0.0,2.8000000000000003,3.6742346141747673,19.6,10.0,5,5,-1.5076405846389023,-1.1392004834649534,0.10608995273827942,-1.280118185623683,-1.4396268133736674,11,1,True,False,False
11,5.4,3.7,1.5,0.2,0,0.0,3.114285714285714,4.046574094806854,21.799999999999997,11.0,5,5,-1.484623171132965,-0.5353839727944834,1.4898719449767124,-1.280118185623683,-1.3085928194379575,11,1,True,False,False
12,4.8,3.4,1.6,0.2,0,0.0,3.142857142857143,4.32159582517737,22.0,12.0,5,5,-1.4616057576270274,-1.259963785599048,0.7979809488574954,-1.2234423509591161,-1.3085928194379575,11,1,True,False,False
13,4.8,3.0,1.4,0.1,0,0.0,3.185714285714286,4.689857343753848,22.3,13.0,5,5,-1.43858834412109,-1.259963785599048,-0.12454037930145956,-1.33679402028825,-1.4396268133736674,11,1,True,False,False
14,4.3,3.0,1.1,0.1,0,0.0,3.214285714285715,5.039652293372553,22.500000000000004,14.0,5,5,-1.4155709306151525,-1.8637802962695178,-0.12454037930145956,-1.5068215242819505,-1.4396268133736674,11,1,True,False,False
15,5.8,4.0,1.2,0.2,0,0.0,3.742857142857143,5.44758574748397,26.2,15.0,5,5,-1.3925535171092152,-0.052330764258108065,2.1817629410959283,-1.4501456896173837,-1.3085928194379575,11,1,True,False,False
16,5.7,4.4,1.5,0.4,0,0.0,4.0,5.7483330917174005,28.0,16.0,5,5,-1.3695361036032776,-0.17309406639220162,3.104284269254884,-1.280118185623683,-1.0465248315665374,11,1,True,False,False
17,5.4,3.9,1.3,0.4,0,0.0,3.9999999999999996,6.099453527434513,27.999999999999996,17.0,5,5,-1.3465186900973403,-0.5353839727944834,1.9511326090561893,-1.3934698549528166,-1.0465248315665374,11,1,True,False,False
18,5.1,3.5,1.4,0.3,0,0.0,4.042857142857143,6.453644227064567,28.3,18.0,5,5,-1.323501276591403,-0.8976738791967662,1.0286112808972343,-1.33679402028825,-1.1775588255022473,11,1,True,False,False
19,5.7,3.8,1.7,0.3,0,0.0,4.357142857142857,6.807069154650221,30.5,19.0,5,5,-1.3004838630854654,-0.17309406639220162,1.7205022770164502,-1.1667665162945495,-1.1775588255022473,11,1,True,False,False
